id,date,season,year,month,holiday,weekday,workingday,weather,atemp,casual,registered,count
26,2011-01-26,springer,2011,Januari,not holiday,wednesday,workday,light snow & light rain,0.2036,34,472,506
27,2011-01-27,springer,2011,Januari,not holiday,thursday,workday,clear & partly cloudy,0.2197,15,416,431
28,2011-01-28,springer,2011,Januari,not holiday,friday,workday,mist & cloudy,0.223317,38,1129,1167
29,2011-01-29,springer,2011,Januari,not holiday,saturday,restday,clear & partly cloudy,0.212126,123,975,1098
30,2011-01-30,springer,2011,Januari,not holiday,sunday,restday,clear & partly cloudy,0.250322,140,956,1096
31,2011-01-31,springer,2011,Januari,not holiday,monday,workday,mist & cloudy,0.18625,42,1459,1501
32,2011-02-01,springer,2011,Februari,not holiday,tuesday,workday,mist & cloudy,0.23453,47,1313,1360
33,2011-02-02,springer,2011,Februari,not holiday,wednesday,workday,mist & cloudy,0.254417,72,1454,1526
34,2011-02-03,springer,2011,Februari,not holiday,thursday,workday,clear & partly cloudy,0.177878,61,1489,1550
35,2011-02-04,springer,2011,Februari,not holiday,friday,workday,mist & cloudy,0.228587,88,1620,1708
36,2011-02-05,springer,2011,Februari,not holiday,saturday,restday,mist & cloudy,0.243058,100,905,1005
37,2011-02-06,springer,2011,Februari,not holiday,sunday,restday,clear & partly cloudy,0.291671,354,1269,1623
38,2011-02-07,springer,2011,Februari,not holiday,monday,workday,clear & partly cloudy,0.303658,120,1592,1712
39,2011-02-08,springer,2011,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.198246,64,1466,1530
40,2011-02-09,springer,2011,Februari,not holiday,wednesday,workday,mist & cloudy,0.144283,53,1552,1605
41,2011-02-10,springer,2011,Februari,not holiday,thursday,workday,clear & partly cloudy,0.149548,47,1491,1538
42,2011-02-11,springer,2011,Februari,not holiday,friday,workday,clear & partly cloudy,0.213509,149,1597,1746
43,2011-02-12,springer,2011,Februari,not holiday,saturday,restday,clear & partly cloudy,0.232954,288,1184,1472
44,2011-02-13,springer,2011,Februari,not holiday,sunday,restday,clear & partly cloudy,0.324113,397,1192,1589
45,2011-02-14,springer,2011,Februari,not holiday,monday,workday,clear & partly cloudy,0.39835,208,1705,1913
46,2011-02-15,springer,2011,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.254274,140,1675,1815
47,2011-02-16,springer,2011,Februari,not holiday,wednesday,workday,clear & partly cloudy,0.3162,218,1897,2115
48,2011-02-17,springer,2011,Februari,not holiday,thursday,workday,clear & partly cloudy,0.428658,259,2216,2475
49,2011-02-18,springer,2011,Februari,not holiday,friday,workday,clear & partly cloudy,0.511983,579,2348,2927
50,2011-02-19,springer,2011,Februari,not holiday,saturday,restday,clear & partly cloudy,0.391404,532,1103,1635
51,2011-02-20,springer,2011,Februari,not holiday,sunday,restday,clear & partly cloudy,0.27733,639,1173,1812
52,2011-02-21,springer,2011,Februari,holiday,monday,restday,mist & cloudy,0.284075,195,912,1107
53,2011-02-22,springer,2011,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.186033,74,1376,1450
54,2011-02-23,springer,2011,Februari,not holiday,wednesday,workday,clear & partly cloudy,0.245717,139,1778,1917
55,2011-02-24,springer,2011,Februari,not holiday,thursday,workday,mist & cloudy,0.289191,100,1707,1807
56,2011-02-25,springer,2011,Februari,not holiday,friday,workday,mist & cloudy,0.350461,120,1341,1461
57,2011-02-26,springer,2011,Februari,not holiday,saturday,restday,clear & partly cloudy,0.282192,424,1545,1969
58,2011-02-27,springer,2011,Februari,not holiday,sunday,restday,clear & partly cloudy,0.351109,694,1708,2402
59,2011-02-28,springer,2011,Februari,not holiday,monday,workday,mist & cloudy,0.400118,81,1365,1446
60,2011-03-01,springer,2011,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.263879,137,1714,1851
61,2011-03-02,springer,2011,Maret,not holiday,wednesday,workday,clear & partly cloudy,0.320071,231,1903,2134
62,2011-03-03,springer,2011,Maret,not holiday,thursday,workday,clear & partly cloudy,0.200133,123,1562,1685
63,2011-03-04,springer,2011,Maret,not holiday,friday,workday,mist & cloudy,0.255679,214,1730,1944
64,2011-03-05,springer,2011,Maret,not holiday,saturday,restday,mist & cloudy,0.378779,640,1437,2077
65,2011-03-06,springer,2011,Maret,not holiday,sunday,restday,mist & cloudy,0.366252,114,491,605
66,2011-03-07,springer,2011,Maret,not holiday,monday,workday,clear & partly cloudy,0.238461,244,1628,1872
67,2011-03-08,springer,2011,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.3024,316,1817,2133
68,2011-03-09,springer,2011,Maret,not holiday,wednesday,workday,mist & cloudy,0.286608,191,1700,1891
69,2011-03-10,springer,2011,Maret,not holiday,thursday,workday,light snow & light rain,0.385668,46,577,623
70,2011-03-11,springer,2011,Maret,not holiday,friday,workday,mist & cloudy,0.305,247,1730,1977
71,2011-03-12,springer,2011,Maret,not holiday,saturday,restday,clear & partly cloudy,0.32575,724,1408,2132
72,2011-03-13,springer,2011,Maret,not holiday,sunday,restday,clear & partly cloudy,0.380091,982,1435,2417
73,2011-03-14,springer,2011,Maret,not holiday,monday,workday,clear & partly cloudy,0.332,359,1687,2046
74,2011-03-15,springer,2011,Maret,not holiday,tuesday,workday,mist & cloudy,0.318178,289,1767,2056
75,2011-03-16,springer,2011,Maret,not holiday,wednesday,workday,mist & cloudy,0.36693,321,1871,2192
76,2011-03-17,springer,2011,Maret,not holiday,thursday,workday,clear & partly cloudy,0.410333,424,2320,2744
77,2011-03-18,springer,2011,Maret,not holiday,friday,workday,clear & partly cloudy,0.527009,884,2355,3239
78,2011-03-19,springer,2011,Maret,not holiday,saturday,restday,clear & partly cloudy,0.466525,1424,1693,3117
79,2011-03-20,springer,2011,Maret,not holiday,sunday,restday,clear & partly cloudy,0.32575,1047,1424,2471
80,2011-03-21,summer,2011,Maret,not holiday,monday,workday,mist & cloudy,0.409735,401,1676,2077
81,2011-03-22,summer,2011,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.440642,460,2243,2703
82,2011-03-23,summer,2011,Maret,not holiday,wednesday,workday,mist & cloudy,0.337939,203,1918,2121
83,2011-03-24,summer,2011,Maret,not holiday,thursday,workday,mist & cloudy,0.270833,166,1699,1865
84,2011-03-25,summer,2011,Maret,not holiday,friday,workday,clear & partly cloudy,0.256312,300,1910,2210
85,2011-03-26,summer,2011,Maret,not holiday,saturday,restday,clear & partly cloudy,0.257571,981,1515,2496
86,2011-03-27,summer,2011,Maret,not holiday,sunday,restday,mist & cloudy,0.250339,472,1221,1693
87,2011-03-28,summer,2011,Maret,not holiday,monday,workday,clear & partly cloudy,0.257574,222,1806,2028
88,2011-03-29,summer,2011,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.292908,317,2108,2425
89,2011-03-30,summer,2011,Maret,not holiday,wednesday,workday,mist & cloudy,0.29735,168,1368,1536
90,2011-03-31,summer,2011,Maret,not holiday,thursday,workday,light snow & light rain,0.257575,179,1506,1685
91,2011-04-01,summer,2011,April,not holiday,friday,workday,mist & cloudy,0.283454,307,1920,2227
92,2011-04-02,summer,2011,April,not holiday,saturday,restday,mist & cloudy,0.315637,898,1354,2252
93,2011-04-03,summer,2011,April,not holiday,sunday,restday,clear & partly cloudy,0.378767,1651,1598,3249
94,2011-04-04,summer,2011,April,not holiday,monday,workday,clear & partly cloudy,0.542929,734,2381,3115
95,2011-04-05,summer,2011,April,not holiday,tuesday,workday,mist & cloudy,0.39835,167,1628,1795
96,2011-04-06,summer,2011,April,not holiday,wednesday,workday,clear & partly cloudy,0.387608,413,2395,2808
97,2011-04-07,summer,2011,April,not holiday,thursday,workday,clear & partly cloudy,0.433696,571,2570,3141
98,2011-04-08,summer,2011,April,not holiday,friday,workday,mist & cloudy,0.324479,172,1299,1471
99,2011-04-09,summer,2011,April,not holiday,saturday,restday,mist & cloudy,0.341529,879,1576,2455
100,2011-04-10,summer,2011,April,not holiday,sunday,restday,mist & cloudy,0.426737,1188,1707,2895
101,2011-04-11,summer,2011,April,not holiday,monday,workday,mist & cloudy,0.565217,855,2493,3348
102,2011-04-12,summer,2011,April,not holiday,tuesday,workday,mist & cloudy,0.493054,257,1777,2034
103,2011-04-13,summer,2011,April,not holiday,wednesday,workday,mist & cloudy,0.417283,209,1953,2162
104,2011-04-14,summer,2011,April,not holiday,thursday,workday,clear & partly cloudy,0.462742,529,2738,3267
105,2011-04-15,summer,2011,April,holiday,friday,restday,clear & partly cloudy,0.441913,642,2484,3126
106,2011-04-16,summer,2011,April,not holiday,saturday,restday,light snow & light rain,0.425492,121,674,795
107,2011-04-17,summer,2011,April,not holiday,sunday,restday,clear & partly cloudy,0.445696,1558,2186,3744
108,2011-04-18,summer,2011,April,not holiday,monday,workday,clear & partly cloudy,0.503146,669,2760,3429
109,2011-04-19,summer,2011,April,not holiday,tuesday,workday,mist & cloudy,0.489258,409,2795,3204
110,2011-04-20,summer,2011,April,not holiday,wednesday,workday,clear & partly cloudy,0.564392,613,3331,3944
111,2011-04-21,summer,2011,April,not holiday,thursday,workday,clear & partly cloudy,0.453892,745,3444,4189
112,2011-04-22,summer,2011,April,not holiday,friday,workday,mist & cloudy,0.321954,177,1506,1683
113,2011-04-23,summer,2011,April,not holiday,saturday,restday,mist & cloudy,0.450121,1462,2574,4036
114,2011-04-24,summer,2011,April,not holiday,sunday,restday,mist & cloudy,0.551763,1710,2481,4191
115,2011-04-25,summer,2011,April,not holiday,monday,workday,clear & partly cloudy,0.5745,773,3300,4073
116,2011-04-26,summer,2011,April,not holiday,tuesday,workday,clear & partly cloudy,0.594083,678,3722,4400
117,2011-04-27,summer,2011,April,not holiday,wednesday,workday,mist & cloudy,0.575142,547,3325,3872
118,2011-04-28,summer,2011,April,not holiday,thursday,workday,mist & cloudy,0.578929,569,3489,4058
119,2011-04-29,summer,2011,April,not holiday,friday,workday,clear & partly cloudy,0.497463,878,3717,4595
120,2011-04-30,summer,2011,April,not holiday,saturday,restday,clear & partly cloudy,0.464021,1965,3347,5312
121,2011-05-01,summer,2011,Mai,not holiday,sunday,restday,mist & cloudy,0.448204,1138,2213,3351
122,2011-05-02,summer,2011,Mai,not holiday,monday,workday,mist & cloudy,0.532833,847,3554,4401
123,2011-05-03,summer,2011,Mai,not holiday,tuesday,workday,mist & cloudy,0.582079,603,3848,4451
124,2011-05-04,summer,2011,Mai,not holiday,wednesday,workday,mist & cloudy,0.40465,255,2378,2633
125,2011-05-05,summer,2011,Mai,not holiday,thursday,workday,clear & partly cloudy,0.441917,614,3819,4433
126,2011-05-06,summer,2011,Mai,not holiday,friday,workday,clear & partly cloudy,0.474117,894,3714,4608
127,2011-05-07,summer,2011,Mai,not holiday,saturday,restday,clear & partly cloudy,0.512621,1612,3102,4714
128,2011-05-08,summer,2011,Mai,not holiday,sunday,restday,clear & partly cloudy,0.518933,1401,2932,4333
129,2011-05-09,summer,2011,Mai,not holiday,monday,workday,clear & partly cloudy,0.525246,664,3698,4362
130,2011-05-10,summer,2011,Mai,not holiday,tuesday,workday,clear & partly cloudy,0.522721,694,4109,4803
131,2011-05-11,summer,2011,Mai,not holiday,wednesday,workday,clear & partly cloudy,0.5284,550,3632,4182
132,2011-05-12,summer,2011,Mai,not holiday,thursday,workday,clear & partly cloudy,0.523363,695,4169,4864
133,2011-05-13,summer,2011,Mai,not holiday,friday,workday,mist & cloudy,0.4943,692,3413,4105
134,2011-05-14,summer,2011,Mai,not holiday,saturday,restday,mist & cloudy,0.500629,902,2507,3409
135,2011-05-15,summer,2011,Mai,not holiday,sunday,restday,mist & cloudy,0.536,1582,2971,4553
136,2011-05-16,summer,2011,Mai,not holiday,monday,workday,clear & partly cloudy,0.550512,773,3185,3958
137,2011-05-17,summer,2011,Mai,not holiday,tuesday,workday,mist & cloudy,0.538529,678,3445,4123
138,2011-05-18,summer,2011,Mai,not holiday,wednesday,workday,mist & cloudy,0.527158,536,3319,3855
139,2011-05-19,summer,2011,Mai,not holiday,thursday,workday,mist & cloudy,0.510742,735,3840,4575
140,2011-05-20,summer,2011,Mai,not holiday,friday,workday,clear & partly cloudy,0.529042,909,4008,4917
141,2011-05-21,summer,2011,Mai,not holiday,saturday,restday,clear & partly cloudy,0.571975,2258,3547,5805
142,2011-05-22,summer,2011,Mai,not holiday,sunday,restday,clear & partly cloudy,0.5745,1576,3084,4660
143,2011-05-23,summer,2011,Mai,not holiday,monday,workday,mist & cloudy,0.590296,836,3438,4274
144,2011-05-24,summer,2011,Mai,not holiday,tuesday,workday,mist & cloudy,0.604813,659,3833,4492
145,2011-05-25,summer,2011,Mai,not holiday,wednesday,workday,clear & partly cloudy,0.615542,740,4238,4978
146,2011-05-26,summer,2011,Mai,not holiday,thursday,workday,clear & partly cloudy,0.654688,758,3919,4677
147,2011-05-27,summer,2011,Mai,not holiday,friday,workday,clear & partly cloudy,0.637008,871,3808,4679
148,2011-05-28,summer,2011,Mai,not holiday,saturday,restday,clear & partly cloudy,0.612379,2001,2757,4758
149,2011-05-29,summer,2011,Mai,not holiday,sunday,restday,clear & partly cloudy,0.61555,2355,2433,4788
150,2011-05-30,summer,2011,Mai,holiday,monday,restday,clear & partly cloudy,0.671092,1549,2549,4098
151,2011-05-31,summer,2011,Mai,not holiday,tuesday,workday,clear & partly cloudy,0.725383,673,3309,3982
152,2011-06-01,summer,2011,Juni,not holiday,wednesday,workday,mist & cloudy,0.720967,513,3461,3974
153,2011-06-02,summer,2011,Juni,not holiday,thursday,workday,clear & partly cloudy,0.643942,736,4232,4968
154,2011-06-03,summer,2011,Juni,not holiday,friday,workday,clear & partly cloudy,0.587133,898,4414,5312
155,2011-06-04,summer,2011,Juni,not holiday,saturday,restday,clear & partly cloudy,0.594696,1869,3473,5342
156,2011-06-05,summer,2011,Juni,not holiday,sunday,restday,mist & cloudy,0.616804,1685,3221,4906
157,2011-06-06,summer,2011,Juni,not holiday,monday,workday,clear & partly cloudy,0.621858,673,3875,4548
158,2011-06-07,summer,2011,Juni,not holiday,tuesday,workday,clear & partly cloudy,0.65595,763,4070,4833
159,2011-06-08,summer,2011,Juni,not holiday,wednesday,workday,clear & partly cloudy,0.727279,676,3725,4401
160,2011-06-09,summer,2011,Juni,not holiday,thursday,workday,mist & cloudy,0.757579,563,3352,3915
161,2011-06-10,summer,2011,Juni,not holiday,friday,workday,clear & partly cloudy,0.703292,815,3771,4586
162,2011-06-11,summer,2011,Juni,not holiday,saturday,restday,clear & partly cloudy,0.678038,1729,3237,4966
163,2011-06-12,summer,2011,Juni,not holiday,sunday,restday,clear & partly cloudy,0.643325,1467,2993,4460
164,2011-06-13,summer,2011,Juni,not holiday,monday,workday,clear & partly cloudy,0.601654,863,4157,5020
165,2011-06-14,summer,2011,Juni,not holiday,tuesday,workday,clear & partly cloudy,0.591546,727,4164,4891
166,2011-06-15,summer,2011,Juni,not holiday,wednesday,workday,clear & partly cloudy,0.587754,769,4411,5180
167,2011-06-16,summer,2011,Juni,not holiday,thursday,workday,mist & cloudy,0.595346,545,3222,3767
168,2011-06-17,summer,2011,Juni,not holiday,friday,workday,clear & partly cloudy,0.600383,863,3981,4844
169,2011-06-18,summer,2011,Juni,not holiday,saturday,restday,clear & partly cloudy,0.643954,1807,3312,5119
170,2011-06-19,summer,2011,Juni,not holiday,sunday,restday,mist & cloudy,0.645846,1639,3105,4744
171,2011-06-20,summer,2011,Juni,not holiday,monday,workday,mist & cloudy,0.595346,699,3311,4010
172,2011-06-21,fall,2011,Juni,not holiday,tuesday,workday,mist & cloudy,0.637646,774,4061,4835
173,2011-06-22,fall,2011,Juni,not holiday,wednesday,workday,clear & partly cloudy,0.693829,661,3846,4507
174,2011-06-23,fall,2011,Juni,not holiday,thursday,workday,mist & cloudy,0.693833,746,4044,4790
175,2011-06-24,fall,2011,Juni,not holiday,friday,workday,clear & partly cloudy,0.656583,969,4022,4991
176,2011-06-25,fall,2011,Juni,not holiday,saturday,restday,clear & partly cloudy,0.643313,1782,3420,5202
177,2011-06-26,fall,2011,Juni,not holiday,sunday,restday,clear & partly cloudy,0.637629,1920,3385,5305
178,2011-06-27,fall,2011,Juni,not holiday,monday,workday,mist & cloudy,0.637004,854,3854,4708
179,2011-06-28,fall,2011,Juni,not holiday,tuesday,workday,clear & partly cloudy,0.692558,732,3916,4648
180,2011-06-29,fall,2011,Juni,not holiday,wednesday,workday,clear & partly cloudy,0.654688,848,4377,5225
181,2011-06-30,fall,2011,Juni,not holiday,thursday,workday,clear & partly cloudy,0.637008,1027,4488,5515
182,2011-07-01,fall,2011,Juli,not holiday,friday,workday,clear & partly cloudy,0.652162,1246,4116,5362
183,2011-07-02,fall,2011,Juli,not holiday,saturday,restday,clear & partly cloudy,0.667308,2204,2915,5119
184,2011-07-03,fall,2011,Juli,not holiday,sunday,restday,mist & cloudy,0.668575,2282,2367,4649
185,2011-07-04,fall,2011,Juli,holiday,monday,restday,mist & cloudy,0.665417,3065,2978,6043
186,2011-07-05,fall,2011,Juli,not holiday,tuesday,workday,clear & partly cloudy,0.696338,1031,3634,4665
187,2011-07-06,fall,2011,Juli,not holiday,wednesday,workday,clear & partly cloudy,0.685633,784,3845,4629
188,2011-07-07,fall,2011,Juli,not holiday,thursday,workday,clear & partly cloudy,0.686871,754,3838,4592
189,2011-07-08,fall,2011,Juli,not holiday,friday,workday,mist & cloudy,0.670483,692,3348,4040
190,2011-07-09,fall,2011,Juli,not holiday,saturday,restday,clear & partly cloudy,0.664158,1988,3348,5336
191,2011-07-10,fall,2011,Juli,not holiday,sunday,restday,clear & partly cloudy,0.690025,1743,3138,4881
192,2011-07-11,fall,2011,Juli,not holiday,monday,workday,clear & partly cloudy,0.729804,723,3363,4086
193,2011-07-12,fall,2011,Juli,not holiday,tuesday,workday,clear & partly cloudy,0.739275,662,3596,4258
194,2011-07-13,fall,2011,Juli,not holiday,wednesday,workday,clear & partly cloudy,0.689404,748,3594,4342
195,2011-07-14,fall,2011,Juli,not holiday,thursday,workday,clear & partly cloudy,0.635104,888,4196,5084
196,2011-07-15,fall,2011,Juli,not holiday,friday,workday,clear & partly cloudy,0.624371,1318,4220,5538
197,2011-07-16,fall,2011,Juli,not holiday,saturday,restday,clear & partly cloudy,0.638263,2418,3505,5923
198,2011-07-17,fall,2011,Juli,not holiday,sunday,restday,clear & partly cloudy,0.669833,2006,3296,5302
199,2011-07-18,fall,2011,Juli,not holiday,monday,workday,clear & partly cloudy,0.703925,841,3617,4458
200,2011-07-19,fall,2011,Juli,not holiday,tuesday,workday,clear & partly cloudy,0.747479,752,3789,4541
201,2011-07-20,fall,2011,Juli,not holiday,wednesday,workday,clear & partly cloudy,0.74685,644,3688,4332
202,2011-07-21,fall,2011,Juli,not holiday,thursday,workday,mist & cloudy,0.826371,632,3152,3784
203,2011-07-22,fall,2011,Juli,not holiday,friday,workday,clear & partly cloudy,0.840896,562,2825,3387
204,2011-07-23,fall,2011,Juli,not holiday,saturday,restday,clear & partly cloudy,0.804287,987,2298,3285
205,2011-07-24,fall,2011,Juli,not holiday,sunday,restday,clear & partly cloudy,0.794829,1050,2556,3606
206,2011-07-25,fall,2011,Juli,not holiday,monday,workday,clear & partly cloudy,0.720958,568,3272,3840
207,2011-07-26,fall,2011,Juli,not holiday,tuesday,workday,clear & partly cloudy,0.696979,750,3840,4590
208,2011-07-27,fall,2011,Juli,not holiday,wednesday,workday,clear & partly cloudy,0.690667,755,3901,4656
209,2011-07-28,fall,2011,Juli,not holiday,thursday,workday,clear & partly cloudy,0.7399,606,3784,4390
210,2011-07-29,fall,2011,Juli,not holiday,friday,workday,clear & partly cloudy,0.785967,670,3176,3846
211,2011-07-30,fall,2011,Juli,not holiday,saturday,restday,clear & partly cloudy,0.728537,1559,2916,4475
212,2011-07-31,fall,2011,Juli,not holiday,sunday,restday,clear & partly cloudy,0.729796,1524,2778,4302
213,2011-08-01,fall,2011,Augustus,not holiday,monday,workday,clear & partly cloudy,0.703292,729,3537,4266
214,2011-08-02,fall,2011,Augustus,not holiday,tuesday,workday,clear & partly cloudy,0.707071,801,4044,4845
215,2011-08-03,fall,2011,Augustus,not holiday,wednesday,workday,mist & cloudy,0.679937,467,3107,3574
216,2011-08-04,fall,2011,Augustus,not holiday,thursday,workday,mist & cloudy,0.664788,799,3777,4576
217,2011-08-05,fall,2011,Augustus,not holiday,friday,workday,clear & partly cloudy,0.656567,1023,3843,4866
218,2011-08-06,fall,2011,Augustus,not holiday,saturday,restday,mist & cloudy,0.676154,1521,2773,4294
219,2011-08-07,fall,2011,Augustus,not holiday,sunday,restday,clear & partly cloudy,0.715292,1298,2487,3785
220,2011-08-08,fall,2011,Augustus,not holiday,monday,workday,clear & partly cloudy,0.703283,846,3480,4326
221,2011-08-09,fall,2011,Augustus,not holiday,tuesday,workday,clear & partly cloudy,0.724121,907,3695,4602
222,2011-08-10,fall,2011,Augustus,not holiday,wednesday,workday,clear & partly cloudy,0.684983,884,3896,4780
223,2011-08-11,fall,2011,Augustus,not holiday,thursday,workday,clear & partly cloudy,0.651521,812,3980,4792
224,2011-08-12,fall,2011,Augustus,not holiday,friday,workday,clear & partly cloudy,0.654042,1051,3854,4905
225,2011-08-13,fall,2011,Augustus,not holiday,saturday,restday,mist & cloudy,0.645858,1504,2646,4150
226,2011-08-14,fall,2011,Augustus,not holiday,sunday,restday,mist & cloudy,0.624388,1338,2482,3820
227,2011-08-15,fall,2011,Augustus,not holiday,monday,workday,clear & partly cloudy,0.616167,775,3563,4338
228,2011-08-16,fall,2011,Augustus,not holiday,tuesday,workday,clear & partly cloudy,0.645837,721,4004,4725
229,2011-08-17,fall,2011,Augustus,not holiday,wednesday,workday,clear & partly cloudy,0.666671,668,4026,4694
230,2011-08-18,fall,2011,Augustus,not holiday,thursday,workday,clear & partly cloudy,0.662258,639,3166,3805
231,2011-08-19,fall,2011,Augustus,not holiday,friday,workday,mist & cloudy,0.633221,797,3356,4153
232,2011-08-20,fall,2011,Augustus,not holiday,saturday,restday,clear & partly cloudy,0.648996,1914,3277,5191
233,2011-08-21,fall,2011,Augustus,not holiday,sunday,restday,clear & partly cloudy,0.675525,1249,2624,3873
234,2011-08-22,fall,2011,Augustus,not holiday,monday,workday,clear & partly cloudy,0.638254,833,3925,4758
235,2011-08-23,fall,2011,Augustus,not holiday,tuesday,workday,clear & partly cloudy,0.606067,1281,4614,5895
236,2011-08-24,fall,2011,Augustus,not holiday,wednesday,workday,clear & partly cloudy,0.630692,949,4181,5130
237,2011-08-25,fall,2011,Augustus,not holiday,thursday,workday,mist & cloudy,0.645854,435,3107,3542
238,2011-08-26,fall,2011,Augustus,not holiday,friday,workday,clear & partly cloudy,0.659733,768,3893,4661
239,2011-08-27,fall,2011,Augustus,not holiday,saturday,restday,mist & cloudy,0.635556,226,889,1115
240,2011-08-28,fall,2011,Augustus,not holiday,sunday,restday,clear & partly cloudy,0.647959,1415,2919,4334
241,2011-08-29,fall,2011,Augustus,not holiday,monday,workday,clear & partly cloudy,0.607958,729,3905,4634
242,2011-08-30,fall,2011,Augustus,not holiday,tuesday,workday,clear & partly cloudy,0.594704,775,4429,5204
243,2011-08-31,fall,2011,Augustus,not holiday,wednesday,workday,clear & partly cloudy,0.611121,688,4370,5058
244,2011-09-01,fall,2011,September,not holiday,thursday,workday,clear & partly cloudy,0.614921,783,4332,5115
245,2011-09-02,fall,2011,September,not holiday,friday,workday,mist & cloudy,0.604808,875,3852,4727
246,2011-09-03,fall,2011,September,not holiday,saturday,restday,clear & partly cloudy,0.633213,1935,2549,4484
247,2011-09-04,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.665429,2521,2419,4940
248,2011-09-05,fall,2011,September,holiday,monday,restday,mist & cloudy,0.625646,1236,2115,3351
249,2011-09-06,fall,2011,September,not holiday,tuesday,workday,light snow & light rain,0.5152,204,2506,2710
250,2011-09-07,fall,2011,September,not holiday,wednesday,workday,light snow & light rain,0.544229,118,1878,1996
251,2011-09-08,fall,2011,September,not holiday,thursday,workday,light snow & light rain,0.555361,153,1689,1842
252,2011-09-09,fall,2011,September,not holiday,friday,workday,mist & cloudy,0.578946,417,3127,3544
253,2011-09-10,fall,2011,September,not holiday,saturday,restday,clear & partly cloudy,0.607962,1750,3595,5345
254,2011-09-11,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.609229,1633,3413,5046
255,2011-09-12,fall,2011,September,not holiday,monday,workday,clear & partly cloudy,0.60213,690,4023,4713
256,2011-09-13,fall,2011,September,not holiday,tuesday,workday,clear & partly cloudy,0.603554,701,4062,4763
257,2011-09-14,fall,2011,September,not holiday,wednesday,workday,clear & partly cloudy,0.6269,647,4138,4785
258,2011-09-15,fall,2011,September,not holiday,thursday,workday,mist & cloudy,0.553671,428,3231,3659
259,2011-09-16,fall,2011,September,not holiday,friday,workday,mist & cloudy,0.461475,742,4018,4760
260,2011-09-17,fall,2011,September,not holiday,saturday,restday,mist & cloudy,0.478512,1434,3077,4511
261,2011-09-18,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.490537,1353,2921,4274
262,2011-09-19,fall,2011,September,not holiday,monday,workday,mist & cloudy,0.529675,691,3848,4539
