id,date,season,year,month,hour,holiday,weekday,workingday,weather,atemp,casual,registered,count,kategori_atemp
79,2011-01-04,springer,2011,1,10 am,not holiday,tuesday,workday,mist & cloudy,0.1364,5,37,42,Dingin
80,2011-01-04,springer,2011,1,11 am,not holiday,tuesday,workday,clear & partly cloudy,0.2121,7,50,57,Dingin
81,2011-01-04,springer,2011,1,12 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2273,12,66,78,Dingin
82,2011-01-04,springer,2011,1,1 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2273,18,79,97,Dingin
83,2011-01-04,springer,2011,1,2 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2576,9,54,63,Dingin
84,2011-01-04,springer,2011,1,3 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2727,17,48,65,Dingin
85,2011-01-04,springer,2011,1,4 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2879,15,68,83,Dingin
86,2011-01-04,springer,2011,1,5 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2727,10,202,212,Dingin
87,2011-01-04,springer,2011,1,6 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2576,3,179,182,Dingin
88,2011-01-04,springer,2011,1,7 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2576,2,110,112,Dingin
89,2011-01-04,springer,2011,1,8 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2576,1,53,54,Dingin
90,2011-01-04,springer,2011,1,9 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2727,0,48,48,Dingin
91,2011-01-04,springer,2011,1,10 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2576,1,34,35,Dingin
92,2011-01-04,springer,2011,1,11 pm,not holiday,tuesday,workday,clear & partly cloudy,0.2273,2,9,11,Dingin
93,2011-01-05,springer,2011,1,12 am,not holiday,wednesday,workday,clear & partly cloudy,0.2576,0,6,6,Dingin
94,2011-01-05,springer,2011,1,1 am,not holiday,wednesday,workday,clear & partly cloudy,0.197,0,6,6,Dingin
95,2011-01-05,springer,2011,1,2 am,not holiday,wednesday,workday,clear & partly cloudy,0.197,0,2,2,Dingin
96,2011-01-05,springer,2011,1,4 am,not holiday,wednesday,workday,clear & partly cloudy,0.2273,0,2,2,Dingin
97,2011-01-05,springer,2011,1,5 am,not holiday,wednesday,workday,clear & partly cloudy,0.2273,0,3,3,Dingin
98,2011-01-05,springer,2011,1,6 am,not holiday,wednesday,workday,clear & partly cloudy,0.197,0,33,33,Dingin
99,2011-01-05,springer,2011,1,7 am,not holiday,wednesday,workday,clear & partly cloudy,0.1818,1,87,88,Dingin
100,2011-01-05,springer,2011,1,8 am,not holiday,wednesday,workday,clear & partly cloudy,0.1818,3,192,195,Dingin
101,2011-01-05,springer,2011,1,9 am,not holiday,wednesday,workday,clear & partly cloudy,0.197,6,109,115,Dingin
102,2011-01-05,springer,2011,1,10 am,not holiday,wednesday,workday,clear & partly cloudy,0.197,4,53,57,Dingin
103,2011-01-05,springer,2011,1,11 am,not holiday,wednesday,workday,clear & partly cloudy,0.2273,12,34,46,Dingin
104,2011-01-05,springer,2011,1,12 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2273,5,74,79,Dingin
105,2011-01-05,springer,2011,1,1 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2576,6,65,71,Dingin
106,2011-01-05,springer,2011,1,2 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2879,10,52,62,Dingin
107,2011-01-05,springer,2011,1,3 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2879,7,55,62,Dingin
108,2011-01-05,springer,2011,1,4 pm,not holiday,wednesday,workday,clear & partly cloudy,0.3182,4,85,89,Sedang
109,2011-01-05,springer,2011,1,5 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2273,4,186,190,Dingin
110,2011-01-05,springer,2011,1,6 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2424,3,166,169,Dingin
111,2011-01-05,springer,2011,1,7 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2576,5,127,132,Dingin
112,2011-01-05,springer,2011,1,8 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2273,7,82,89,Dingin
113,2011-01-05,springer,2011,1,9 pm,not holiday,wednesday,workday,clear & partly cloudy,0.197,3,40,43,Dingin
114,2011-01-05,springer,2011,1,10 pm,not holiday,wednesday,workday,clear & partly cloudy,0.197,1,41,42,Dingin
115,2011-01-05,springer,2011,1,11 pm,not holiday,wednesday,workday,clear & partly cloudy,0.2576,1,18,19,Dingin
116,2011-01-06,springer,2011,1,12 am,not holiday,thursday,workday,clear & partly cloudy,0.2424,0,11,11,Dingin
117,2011-01-06,springer,2011,1,1 am,not holiday,thursday,workday,clear & partly cloudy,0.2273,0,4,4,Dingin
118,2011-01-06,springer,2011,1,2 am,not holiday,thursday,workday,clear & partly cloudy,0.2273,0,2,2,Dingin
119,2011-01-06,springer,2011,1,4 am,not holiday,thursday,workday,mist & cloudy,0.197,0,1,1,Dingin
120,2011-01-06,springer,2011,1,5 am,not holiday,thursday,workday,mist & cloudy,0.1818,0,4,4,Dingin
121,2011-01-06,springer,2011,1,6 am,not holiday,thursday,workday,mist & cloudy,0.1667,0,36,36,Dingin
122,2011-01-06,springer,2011,1,7 am,not holiday,thursday,workday,mist & cloudy,0.2273,0,95,95,Dingin
123,2011-01-06,springer,2011,1,8 am,not holiday,thursday,workday,clear & partly cloudy,0.2273,3,216,219,Dingin
124,2011-01-06,springer,2011,1,9 am,not holiday,thursday,workday,mist & cloudy,0.2424,6,116,122,Dingin
125,2011-01-06,springer,2011,1,10 am,not holiday,thursday,workday,clear & partly cloudy,0.2576,3,42,45,Dingin
126,2011-01-06,springer,2011,1,11 am,not holiday,thursday,workday,clear & partly cloudy,0.2576,2,57,59,Dingin
127,2011-01-06,springer,2011,1,12 pm,not holiday,thursday,workday,clear & partly cloudy,0.2879,6,78,84,Dingin
128,2011-01-06,springer,2011,1,1 pm,not holiday,thursday,workday,clear & partly cloudy,0.2727,12,55,67,Dingin
129,2011-01-06,springer,2011,1,2 pm,not holiday,thursday,workday,clear & partly cloudy,0.2727,11,59,70,Dingin
130,2011-01-06,springer,2011,1,3 pm,not holiday,thursday,workday,clear & partly cloudy,0.2727,8,54,62,Dingin
131,2011-01-06,springer,2011,1,4 pm,not holiday,thursday,workday,clear & partly cloudy,0.2576,12,74,86,Dingin
132,2011-01-06,springer,2011,1,5 pm,not holiday,thursday,workday,clear & partly cloudy,0.2273,9,163,172,Dingin
133,2011-01-06,springer,2011,1,6 pm,not holiday,thursday,workday,clear & partly cloudy,0.2273,5,158,163,Dingin
134,2011-01-06,springer,2011,1,7 pm,not holiday,thursday,workday,clear & partly cloudy,0.2576,3,109,112,Dingin
135,2011-01-06,springer,2011,1,8 pm,not holiday,thursday,workday,clear & partly cloudy,0.2121,3,66,69,Dingin
136,2011-01-06,springer,2011,1,9 pm,not holiday,thursday,workday,mist & cloudy,0.2121,0,48,48,Dingin
137,2011-01-06,springer,2011,1,10 pm,not holiday,thursday,workday,mist & cloudy,0.2121,1,51,52,Dingin
138,2011-01-06,springer,2011,1,11 pm,not holiday,thursday,workday,mist & cloudy,0.197,4,19,23,Dingin
139,2011-01-07,springer,2011,1,12 am,not holiday,friday,workday,mist & cloudy,0.197,4,13,17,Dingin
140,2011-01-07,springer,2011,1,1 am,not holiday,friday,workday,mist & cloudy,0.197,2,5,7,Dingin
141,2011-01-07,springer,2011,1,2 am,not holiday,friday,workday,mist & cloudy,0.197,0,1,1,Dingin
142,2011-01-07,springer,2011,1,4 am,not holiday,friday,workday,mist & cloudy,0.2121,0,1,1,Dingin
143,2011-01-07,springer,2011,1,5 am,not holiday,friday,workday,light snow & light rain,0.2727,0,5,5,Dingin
144,2011-01-07,springer,2011,1,6 am,not holiday,friday,workday,mist & cloudy,0.2576,8,26,34,Dingin
145,2011-01-07,springer,2011,1,7 am,not holiday,friday,workday,clear & partly cloudy,0.2121,8,76,84,Dingin
146,2011-01-07,springer,2011,1,8 am,not holiday,friday,workday,clear & partly cloudy,0.197,20,190,210,Dingin
147,2011-01-07,springer,2011,1,9 am,not holiday,friday,workday,clear & partly cloudy,0.1818,9,125,134,Dingin
148,2011-01-07,springer,2011,1,10 am,not holiday,friday,workday,clear & partly cloudy,0.197,16,47,63,Dingin
149,2011-01-07,springer,2011,1,11 am,not holiday,friday,workday,mist & cloudy,0.197,19,48,67,Dingin
150,2011-01-07,springer,2011,1,12 pm,not holiday,friday,workday,mist & cloudy,0.197,9,50,59,Dingin
151,2011-01-07,springer,2011,1,1 pm,not holiday,friday,workday,mist & cloudy,0.1818,9,64,73,Dingin
152,2011-01-07,springer,2011,1,2 pm,not holiday,friday,workday,mist & cloudy,0.197,7,43,50,Dingin
153,2011-01-07,springer,2011,1,3 pm,not holiday,friday,workday,mist & cloudy,0.2121,9,63,72,Dingin
154,2011-01-07,springer,2011,1,4 pm,not holiday,friday,workday,mist & cloudy,0.2121,5,82,87,Dingin
155,2011-01-07,springer,2011,1,5 pm,not holiday,friday,workday,mist & cloudy,0.2576,9,178,187,Dingin
156,2011-01-07,springer,2011,1,6 pm,not holiday,friday,workday,clear & partly cloudy,0.2273,7,116,123,Dingin
157,2011-01-07,springer,2011,1,7 pm,not holiday,friday,workday,clear & partly cloudy,0.197,3,92,95,Dingin
158,2011-01-07,springer,2011,1,8 pm,not holiday,friday,workday,clear & partly cloudy,0.2121,1,50,51,Dingin
159,2011-01-07,springer,2011,1,9 pm,not holiday,friday,workday,clear & partly cloudy,0.197,0,39,39,Dingin
160,2011-01-07,springer,2011,1,10 pm,not holiday,friday,workday,mist & cloudy,0.197,2,34,36,Dingin
161,2011-01-07,springer,2011,1,11 pm,not holiday,friday,workday,mist & cloudy,0.197,1,14,15,Dingin
162,2011-01-08,springer,2011,1,12 am,not holiday,saturday,restday,mist & cloudy,0.197,1,24,25,Dingin
163,2011-01-08,springer,2011,1,1 am,not holiday,saturday,restday,mist & cloudy,0.2121,1,15,16,Dingin
164,2011-01-08,springer,2011,1,2 am,not holiday,saturday,restday,mist & cloudy,0.2424,3,13,16,Dingin
165,2011-01-08,springer,2011,1,3 am,not holiday,saturday,restday,light snow & light rain,0.197,0,7,7,Dingin
166,2011-01-08,springer,2011,1,4 am,not holiday,saturday,restday,light snow & light rain,0.197,0,1,1,Dingin
167,2011-01-08,springer,2011,1,5 am,not holiday,saturday,restday,mist & cloudy,0.1667,0,5,5,Dingin
168,2011-01-08,springer,2011,1,6 am,not holiday,saturday,restday,mist & cloudy,0.1667,0,2,2,Dingin
169,2011-01-08,springer,2011,1,7 am,not holiday,saturday,restday,mist & cloudy,0.1818,1,8,9,Dingin
170,2011-01-08,springer,2011,1,8 am,not holiday,saturday,restday,light snow & light rain,0.1818,0,15,15,Dingin
171,2011-01-08,springer,2011,1,9 am,not holiday,saturday,restday,light snow & light rain,0.1818,0,20,20,Dingin
172,2011-01-08,springer,2011,1,10 am,not holiday,saturday,restday,mist & cloudy,0.197,5,56,61,Dingin
173,2011-01-08,springer,2011,1,11 am,not holiday,saturday,restday,mist & cloudy,0.1818,2,60,62,Dingin
174,2011-01-08,springer,2011,1,12 pm,not holiday,saturday,restday,mist & cloudy,0.1818,8,90,98,Dingin
175,2011-01-08,springer,2011,1,1 pm,not holiday,saturday,restday,clear & partly cloudy,0.1818,7,95,102,Dingin
176,2011-01-08,springer,2011,1,2 pm,not holiday,saturday,restday,clear & partly cloudy,0.1667,12,83,95,Dingin
177,2011-01-08,springer,2011,1,3 pm,not holiday,saturday,restday,clear & partly cloudy,0.1667,5,69,74,Dingin
178,2011-01-08,springer,2011,1,4 pm,not holiday,saturday,restday,clear & partly cloudy,0.1364,8,68,76,Dingin
179,2011-01-08,springer,2011,1,5 pm,not holiday,saturday,restday,clear & partly cloudy,0.1212,5,64,69,Dingin
180,2011-01-08,springer,2011,1,6 pm,not holiday,saturday,restday,clear & partly cloudy,0.1212,3,52,55,Dingin
181,2011-01-08,springer,2011,1,7 pm,not holiday,saturday,restday,clear & partly cloudy,0.1212,4,26,30,Dingin
182,2011-01-08,springer,2011,1,8 pm,not holiday,saturday,restday,clear & partly cloudy,0.1212,0,28,28,Dingin
183,2011-01-08,springer,2011,1,9 pm,not holiday,saturday,restday,clear & partly cloudy,0.1061,2,35,37,Dingin
184,2011-01-08,springer,2011,1,10 pm,not holiday,saturday,restday,clear & partly cloudy,0.1061,1,33,34,Dingin
185,2011-01-08,springer,2011,1,11 pm,not holiday,saturday,restday,clear & partly cloudy,0.0606,0,22,22,Dingin
186,2011-01-09,springer,2011,1,12 am,not holiday,sunday,restday,clear & partly cloudy,0.0758,1,24,25,Dingin
187,2011-01-09,springer,2011,1,1 am,not holiday,sunday,restday,clear & partly cloudy,0.0606,0,12,12,Dingin
188,2011-01-09,springer,2011,1,2 am,not holiday,sunday,restday,clear & partly cloudy,0.0606,0,11,11,Dingin
189,2011-01-09,springer,2011,1,3 am,not holiday,sunday,restday,clear & partly cloudy,0.0758,0,4,4,Dingin
190,2011-01-09,springer,2011,1,4 am,not holiday,sunday,restday,clear & partly cloudy,0.0909,0,1,1,Dingin
191,2011-01-09,springer,2011,1,5 am,not holiday,sunday,restday,clear & partly cloudy,0.0909,0,1,1,Dingin
192,2011-01-09,springer,2011,1,6 am,not holiday,sunday,restday,clear & partly cloudy,0.0909,0,1,1,Dingin
193,2011-01-09,springer,2011,1,7 am,not holiday,sunday,restday,clear & partly cloudy,0.0909,1,5,6,Dingin
194,2011-01-09,springer,2011,1,8 am,not holiday,sunday,restday,clear & partly cloudy,0.0909,0,10,10,Dingin
195,2011-01-09,springer,2011,1,9 am,not holiday,sunday,restday,clear & partly cloudy,0.0758,0,19,19,Dingin
196,2011-01-09,springer,2011,1,10 am,not holiday,sunday,restday,clear & partly cloudy,0.1061,0,49,49,Dingin
197,2011-01-09,springer,2011,1,11 am,not holiday,sunday,restday,clear & partly cloudy,0.1212,2,47,49,Dingin
198,2011-01-09,springer,2011,1,12 pm,not holiday,sunday,restday,clear & partly cloudy,0.1364,4,79,83,Dingin
199,2011-01-09,springer,2011,1,1 pm,not holiday,sunday,restday,clear & partly cloudy,0.1667,6,69,75,Dingin
200,2011-01-09,springer,2011,1,2 pm,not holiday,sunday,restday,clear & partly cloudy,0.1818,8,64,72,Dingin
201,2011-01-09,springer,2011,1,3 pm,not holiday,sunday,restday,clear & partly cloudy,0.197,5,77,82,Dingin
202,2011-01-09,springer,2011,1,4 pm,not holiday,sunday,restday,clear & partly cloudy,0.1667,13,79,92,Dingin
203,2011-01-09,springer,2011,1,5 pm,not holiday,sunday,restday,clear & partly cloudy,0.1515,3,59,62,Dingin
204,2011-01-09,springer,2011,1,6 pm,not holiday,sunday,restday,clear & partly cloudy,0.1364,4,44,48,Dingin
205,2011-01-09,springer,2011,1,7 pm,not holiday,sunday,restday,clear & partly cloudy,0.1364,1,40,41,Dingin
206,2011-01-09,springer,2011,1,8 pm,not holiday,sunday,restday,clear & partly cloudy,0.1212,0,38,38,Dingin
207,2011-01-09,springer,2011,1,9 pm,not holiday,sunday,restday,clear & partly cloudy,0.1061,1,19,20,Dingin
208,2011-01-09,springer,2011,1,10 pm,not holiday,sunday,restday,clear & partly cloudy,0.1212,5,10,15,Dingin
209,2011-01-09,springer,2011,1,11 pm,not holiday,sunday,restday,clear & partly cloudy,0.1364,0,6,6,Dingin
210,2011-01-10,springer,2011,1,12 am,not holiday,monday,workday,clear & partly cloudy,0.1212,2,3,5,Dingin
211,2011-01-10,springer,2011,1,1 am,not holiday,monday,workday,clear & partly cloudy,0.1212,1,0,1,Dingin
212,2011-01-10,springer,2011,1,2 am,not holiday,monday,workday,clear & partly cloudy,0.1212,0,3,3,Dingin
213,2011-01-10,springer,2011,1,3 am,not holiday,monday,workday,clear & partly cloudy,0.1212,0,1,1,Dingin
214,2011-01-10,springer,2011,1,4 am,not holiday,monday,workday,clear & partly cloudy,0.1212,1,2,3,Dingin
215,2011-01-10,springer,2011,1,5 am,not holiday,monday,workday,clear & partly cloudy,0.1061,0,3,3,Dingin
216,2011-01-10,springer,2011,1,6 am,not holiday,monday,workday,clear & partly cloudy,0.1212,0,31,31,Dingin
217,2011-01-10,springer,2011,1,7 am,not holiday,monday,workday,clear & partly cloudy,0.1212,2,75,77,Dingin
218,2011-01-10,springer,2011,1,8 am,not holiday,monday,workday,mist & cloudy,0.1212,4,184,188,Dingin
219,2011-01-10,springer,2011,1,9 am,not holiday,monday,workday,mist & cloudy,0.1212,2,92,94,Dingin
220,2011-01-10,springer,2011,1,10 am,not holiday,monday,workday,mist & cloudy,0.1212,0,31,31,Dingin
221,2011-01-10,springer,2011,1,11 am,not holiday,monday,workday,mist & cloudy,0.1364,2,28,30,Dingin
222,2011-01-10,springer,2011,1,12 pm,not holiday,monday,workday,mist & cloudy,0.1818,5,47,52,Dingin
223,2011-01-10,springer,2011,1,1 pm,not holiday,monday,workday,mist & cloudy,0.1818,4,50,54,Dingin
224,2011-01-10,springer,2011,1,2 pm,not holiday,monday,workday,mist & cloudy,0.197,0,47,47,Dingin
225,2011-01-10,springer,2011,1,3 pm,not holiday,monday,workday,mist & cloudy,0.197,2,43,45,Dingin
226,2011-01-10,springer,2011,1,4 pm,not holiday,monday,workday,clear & partly cloudy,0.2121,4,70,74,Dingin
227,2011-01-10,springer,2011,1,5 pm,not holiday,monday,workday,clear & partly cloudy,0.2273,4,174,178,Dingin
228,2011-01-10,springer,2011,1,6 pm,not holiday,monday,workday,clear & partly cloudy,0.197,1,154,155,Dingin
229,2011-01-10,springer,2011,1,7 pm,not holiday,monday,workday,clear & partly cloudy,0.1667,3,92,95,Dingin
230,2011-01-10,springer,2011,1,8 pm,not holiday,monday,workday,clear & partly cloudy,0.1667,1,73,74,Dingin
231,2011-01-10,springer,2011,1,9 pm,not holiday,monday,workday,clear & partly cloudy,0.1364,1,37,38,Dingin
232,2011-01-10,springer,2011,1,10 pm,not holiday,monday,workday,clear & partly cloudy,0.1515,2,22,24,Dingin
233,2011-01-10,springer,2011,1,11 pm,not holiday,monday,workday,clear & partly cloudy,0.1515,0,18,18,Dingin
234,2011-01-11,springer,2011,1,12 am,not holiday,tuesday,workday,clear & partly cloudy,0.1667,2,10,12,Dingin
235,2011-01-11,springer,2011,1,1 am,not holiday,tuesday,workday,clear & partly cloudy,0.1515,0,3,3,Dingin
236,2011-01-11,springer,2011,1,2 am,not holiday,tuesday,workday,mist & cloudy,0.1515,0,3,3,Dingin
237,2011-01-11,springer,2011,1,5 am,not holiday,tuesday,workday,mist & cloudy,0.1818,0,6,6,Dingin
